b	1112	937	1271	980	mask	b
r	691	1084	709	1112	mask	r
r	728	1093	743	1124	mask	r
r	758	1093	844	1118	mask	r
r	869	1084	894	1112	mask	r
r	909	1081	976	1121	mask	r
r	992	1081	1029	1109	mask	r
r	1044	1081	1072	1109	mask	r
r	1087	1084	1185	1115	mask	r
i	1210	1075	1373	1118	mask	i
i	1388	1075	1526	1115	mask	i
i	1545	1072	1594	1102	mask	i
i	1612	1072	1717	1112	mask	i
r	1741	1069	1775	1099	mask	r
r	605	1142	688	1170	mask	r
r	697	1142	712	1170	mask	r
r	731	1145	832	1179	mask	r
r	847	1139	970	1173	mask	r
r	992	1136	1084	1167	mask	r
r	1096	1136	1152	1167	mask	r
r	1167	1133	1573	1167	mask	r
r	1588	1127	1659	1158	mask	r
r	1680	1130	1711	1158	mask	r
r	1732	1136	1775	1158	mask	r
r	694	1213	749	1241	mask	r
r	774	1213	875	1253	mask	r
r	890	1216	995	1241	mask	r
r	1010	1210	1130	1238	mask	r
r	1145	1210	1219	1238	mask	r
r	1241	1207	1364	1244	mask	r
r	1382	1204	1443	1235	mask	r
r	1465	1204	1545	1244	mask	r
r	1560	1204	1576	1231	mask	r
r	1594	1201	1732	1228	mask	r
r	697	1284	924	1311	mask	r
r	943	1284	998	1311	mask	r
r	1013	1281	1213	1321	mask	r
r	1228	1284	1274	1308	mask	r
r	1290	1274	1434	1318	mask	r
r	697	1354	774	1385	mask	r
r	792	1354	872	1394	mask	r
r	887	1357	958	1382	mask	r
r	973	1351	1121	1382	mask	r
r	1136	1361	1213	1391	mask	r
r	1228	1351	1253	1379	mask	r
r	1268	1345	1453	1379	mask	r
r	1477	1345	1533	1376	mask	r
r	1554	1345	1674	1382	mask	r
r	1695	1342	1781	1382	mask	r
r	617	1425	651	1443	mask	r
r	672	1413	761	1450	mask	r
r	780	1422	894	1440	mask	r
r	912	1410	1106	1440	mask	r
r	1124	1419	1161	1437	mask	r
r	1182	1419	1250	1437	mask	r
r	1262	1407	1385	1437	mask	r
r	697	1483	752	1511	mask	r
r	768	1483	952	1520	mask	r
r	970	1486	1118	1520	mask	r
r	1133	1480	1201	1520	mask	r
r	1222	1486	1296	1517	mask	r
r	1308	1483	1379	1508	mask	r
r	1391	1486	1428	1505	mask	r
r	1443	1483	1493	1505	mask	r
r	1505	1474	1545	1505	mask	r
r	1560	1471	1622	1514	mask	r
r	1637	1471	1781	1511	mask	r
r	611	1545	725	1573	mask	r
r	700	1668	746	1705	mask	r
r	771	1668	909	1705	mask	r
r	937	1674	1127	1708	mask	r
r	1155	1668	1539	1708	mask	r
r	1560	1665	1680	1705	mask	r
r	1698	1665	1735	1692	mask	r
r	1760	1665	1784	1692	mask	r
r	617	1741	715	1769	mask	r
r	743	1732	878	1772	mask	r
r	887	1732	930	1763	mask	r
r	949	1729	1155	1763	mask	r
r	1170	1726	1259	1769	mask	r
r	1274	1726	1388	1757	mask	r
r	1404	1726	1471	1754	mask	r
r	1486	1723	1523	1754	mask	r
r	1542	1723	1665	1754	mask	r
