b	1387	53	1691	88	mask	b
r	346	504	547	530	mask	r
r	575	504	693	532	mask	r
r	724	504	730	530	mask	r
r	760	504	892	530	mask	r
r	922	504	1002	530	mask	r
r	346	538	435	564	mask	r
r	463	538	515	564	mask	r
r	540	538	661	564	mask	r
r	687	538	814	564	mask	r
r	840	538	984	568	mask	r
r	183	821	221	851	mask	r
r	243	821	299	851	mask	r
r	318	821	409	857	mask	r
r	431	821	459	851	mask	r
r	476	823	635	859	mask	r
r	655	823	706	851	mask	r
r	726	831	790	851	mask	r
r	810	823	913	851	mask	r
r	933	821	995	851	mask	r
r	1012	821	1150	851	mask	r
r	1174	821	1241	851	mask	r
r	1262	821	1403	857	mask	r
r	1424	827	1551	849	mask	r
r	146	872	299	909	mask	r
r	316	872	383	903	mask	r
r	403	872	510	909	mask	r
r	530	872	687	907	mask	r
r	706	875	758	909	mask	r
r	775	875	851	903	mask	r
r	870	875	969	903	mask	r
r	984	875	1112	909	mask	r
r	1131	879	1215	900	mask	r
r	1232	872	1288	900	mask	r
r	1303	872	1375	900	mask	r
r	1390	870	1428	900	mask	r
r	1448	872	1551	900	mask	r
r	144	924	239	959	mask	r
r	260	931	321	952	mask	r
r	340	931	448	952	mask	r
r	467	922	553	952	mask	r
r	571	924	603	952	mask	r
r	622	924	719	956	mask	r
r	737	924	847	952	mask	r
r	866	931	928	959	mask	r
r	948	924	1105	956	mask	r
r	1125	924	1176	959	mask	r
r	1196	922	1299	952	mask	r
r	1314	922	1409	956	mask	r
r	1431	922	1553	950	mask	r
r	142	974	232	1002	mask	r
r	254	974	318	1002	mask	r
r	338	974	385	1002	mask	r
r	407	974	467	1002	mask	r
r	489	974	665	1010	mask	r
r	183	1023	200	1053	mask	r
r	221	1032	241	1060	mask	r
r	262	1032	280	1053	mask	r
r	303	1023	364	1053	mask	r
r	385	1025	502	1060	mask	r
r	525	1025	575	1060	mask	r
r	599	1023	737	1053	mask	r
r	760	1025	894	1060	mask	r
r	918	1023	1000	1053	mask	r
r	1023	1023	1109	1053	mask	r
r	1133	1030	1260	1053	mask	r
r	1284	1030	1347	1051	mask	r
r	1366	1021	1489	1058	mask	r
r	1513	1021	1553	1051	mask	r
r	144	1075	172	1103	mask	r
r	189	1075	237	1103	mask	r
r	254	1075	286	1103	mask	r
r	303	1081	342	1103	mask	r
